Tag type: postag

çekmeden 1 < 31 , 1 > 
uzaklaşıyoruz 1 < 37 , 1 > 
ağaçtan 1 < 9 , 1 > 
felsefe 1 < 9 , 3 > 
şekline 1 < 9 , 1 > 
kabul_ettiler 1 < 37 , 1 > 
mu 1 < 36 , 23 > 
çıkanı 1 < 20 , 1 > 
bekleyebilirdim 1 < 37 , 1 > 
geiger 1 < 9 , 1 > 
na 2 < 19 , 5 > < 9 , 1 > 
yutkunma 1 < 12 , 1 > 
ne 4 < 32 , 17 > < 31 , 18 > < 27 , 112 > < 21 , 8 > 
tevazuyu 1 < 9 , 1 > 
verildiğini 1 < 15 , 2 > 
gözyaşları 1 < 9 , 2 > 
yararını 1 < 9 , 1 > 
vatandaşlarına 1 < 9 , 1 > 
derece 1 < 9 , 2 > 
oluşturabilir 1 < 37 , 1 > 
oldukça 1 < 31 , 6 > 
votka 1 < 9 , 1 > 
köpeğimin 1 < 9 , 1 > 
kısaca 1 < 31 , 2 > 
anneannemde 1 < 9 , 1 > 
hamburg'un 1 < 19 , 1 > 
eseridir 1 < 37 , 1 > 
sözcüğünü 1 < 9 , 1 > 
köpeğimiz 1 < 9 , 1 > 
oh 1 < 35 , 2 > 
yönelmek 1 < 12 , 1 > 
yaşayanları 1 < 20 , 2 > 
bilmezliği 1 < 9 , 1 > 
ol 1 < 37 , 1 > 
straat'da 1 < 19 , 1 > 
on 2 < 20 , 2 > < 1 , 10 > 
yönelmem 1 < 12 , 1 > 
buluşacağım 1 < 18 , 1 > 
ot 1 < 9 , 2 > 
krediler 1 < 9 , 1 > 
birinci_ada 1 < 9 , 1 > 
yazdı 1 < 37 , 2 > 
ablası 1 < 9 , 4 > 
yapmak 1 < 12 , 10 > 
oy 1 < 9 , 3 > 
ihtiyacımız_var 1 < 37 , 1 > 
açıklamaların 1 < 12 , 1 > 
bulmalıyım 1 < 37 , 2 > 
coğrafyada 1 < 9 , 3 > 
ortaya_çıkmıştır 1 < 37 , 1 > 
oyuncaklar 1 < 9 , 1 > 
yaparsam 1 < 37 , 2 > 
yapmaz 1 < 37 , 1 > 
öğretmenimize 1 < 9 , 1 > 
tamamlanmayan 1 < 11 , 1 > 
tek_tük 1 < 21 , 1 > 
akıl_alacak 1 < 18 , 1 > 
yapacağı 1 < 18 , 2 > 
evler 1 < 9 , 3 > 
ercan_tezer 1 < 19 , 1 > 
kadınlardan 1 < 9 , 1 > 
yudumu 1 < 9 , 1 > 
eylemde 1 < 9 , 1 > 
yirmisekiz_ocak_ikibindört 1 < 20 , 1 > 
kapısına 1 < 9 , 3 > 
iş 1 < 9 , 24 > 
üstü_kapalı 1 < 21 , 1 > 
deşifresini 1 < 20 , 2 > 
meyvelerini 1 < 9 , 1 > 
seçildikten 1 < 15 , 1 > 
abdüllatif_şener'le 1 < 19 , 1 > 
azalmış 1 < 21 , 1 > 
kurallar 1 < 9 , 2 > 
akp'lilerin 1 < 20 , 1 > 
dubleden 1 < 9 , 1 > 
basını 1 < 9 , 1 > 
kıvırıp 1 < 31 , 1 > 
daireler 1 < 9 , 1 > 
mü 1 < 36 , 7 > 
kolundan 1 < 9 , 3 > 
karşı_çıkan 1 < 11 , 1 > 
sözgelimi 1 < 31 , 1 > 
belki 1 < 31 , 32 > 
örtü 1 < 9 , 1 > 
anap'tan 1 < 19 , 1 > 
ölmüyordum 1 < 37 , 1 > 
sınıftan 1 < 9 , 1 > 
sözleşme 1 < 9 , 2 > 
kavrulmamışı 1 < 20 , 1 > 
sistemleştirilmesi 1 < 12 , 1 > 
karşılığını 1 < 9 , 3 > 
kitlesinin 1 < 9 , 1 > 
yardımlarda 1 < 9 , 1 > 
rusya'ya 1 < 19 , 1 > 
elektrik 1 < 9 , 6 > 
ışıklar 1 < 9 , 2 > 
yorulmuş 1 < 21 , 1 > 
sonuca 1 < 9 , 2 > 
vakanüvis 1 < 9 , 1 > 
belli 2 < 31 , 1 > < 21 , 13 > 
bedava 1 < 21 , 1 > 
izlenen 1 < 11 , 1 > 
getirdiklerinde 1 < 15 , 1 > 
deriden 1 < 9 , 1 > 
sonucu 1 < 9 , 5 > 
ailenin 1 < 9 , 8 > 
dilim 1 < 9 , 4 > 
uydurma 1 < 12 , 2 > 
dizi 1 < 9 , 2 > 
düşünülecek 1 < 18 , 1 > 
imparatorluk 1 < 9 , 1 > 
dilin 1 < 9 , 2 > 
programından 1 < 9 , 1 > 
kulakları 1 < 9 , 1 > 
su 2 < 19 , 1 > < 9 , 7 > 
mı 1 < 36 , 51 > 
katıldı 1 < 37 , 3 > 
kaldırımları 1 < 9 , 1 > 
ta 1 < 31 , 1 > 
onadığı 1 < 14 , 1 > 
coğrafyaya 1 < 9 , 1 > 
tl 1 < 19 , 2 > 
unakıtan'dan 1 < 19 , 1 > 
anımsamamanız 1 < 12 , 1 > 
cesedinin 1 < 9 , 1 > 
savunma 1 < 12 , 3 > 
diye 2 < 38 , 135 > < 37 , 3 > 
gelişi 1 < 12 , 1 > 
dozajı 1 < 9 , 1 > 
elektron 1 < 9 , 3 > 
on_iki 1 < 1 , 3 > 
soracağımı 1 < 17 , 1 > 
ayakkabı 1 < 9 , 1 > 
siste 1 < 9 , 1 > 
daldılar 1 < 37 , 1 > 
direnseydin 1 < 37 , 1 > 
ayırdıkları 1 < 14 , 1 > 
düşünür 1 < 37 , 2 > 
düşünüp 1 < 31 , 1 > 
un 1 < 9 , 1 > 
çekmişti 1 < 37 , 1 > 
düşündüğü 1 < 14 , 2 > 
kaymış 1 < 37 , 2 > 
diğer_taraftan 1 < 9 , 1 > 
ut 1 < 9 , 1 > 
sakinleştirir 1 < 37 , 1 > 
burunlu 1 < 21 , 1 > 
saldırıyla 1 < 9 , 1 > 
anneannemin 1 < 9 , 1 > 
vb 1 < 9 , 4 > 
ayağım 1 < 9 , 1 > 
havliyle 1 < 9 , 1 > 
ve 1 < 32 , 497 > 
türbanlı 1 < 20 , 1 > 
iyidir 1 < 37 , 2 > 
belge 1 < 9 , 1 > 
nazik 1 < 21 , 1 > 
planları 1 < 9 , 3 > 
genel_başkanı 1 < 9 , 3 > 
zamanınızı 1 < 9 , 1 > 
kuşkular 1 < 9 , 1 > 
i̇tü'yü 1 < 19 , 1 > 
etmişçesine 1 < 31 , 1 > 
ecevit 1 < 19 , 1 > 
türkiye'sinde 1 < 19 , 1 > 
dokuz'a 1 < 20 , 1 > 
kopyanın 1 < 9 , 1 > 
saçları 1 < 9 , 6 > 
sanayicinin 1 < 9 , 1 > 
durgun 1 < 21 , 1 > 
darbecilerden 1 < 9 , 1 > 
gerçekleşmesinden 1 < 12 , 1 > 
yurtdışı 1 < 21 , 1 > 
satmayı 1 < 12 , 2 > 
görüşüdür 1 < 37 , 1 > 
çıkarıldığının 1 < 15 , 1 > 
ödeneklerinin 1 < 9 , 2 > 
güzeller_güzeli 1 < 20 , 1 > 
olup_biterken 1 < 31 , 1 > 
kuvvet 1 < 9 , 3 > 
korkuttu 1 < 37 , 1 > 
teorileri 1 < 9 , 1 > 
i̇kincisi 1 < 20 , 3 > 
yaptırdığını 1 < 15 , 1 > 
tavrı 1 < 9 , 1 > 
çözdüm 1 < 37 , 1 > 
sempati 1 < 9 , 1 > 
çaresizlik 1 < 9 , 1 > 
hatanın 1 < 9 , 1 > 
harekatı 1 < 9 , 2 > 
zirvesine 1 < 9 , 2 > 
durağan 1 < 21 , 1 > 
bürokrattır 1 < 37 , 2 > 
basıyoruz 1 < 37 , 1 > 
seviyor 1 < 37 , 1 > 
konuşuyordum 1 < 37 , 2 > 
ya 2 < 35 , 6 > < 32 , 45 > 
yola_çıkarak 1 < 31 , 1 > 
hareket_ederken 1 < 31 , 1 > 
bir_süre 1 < 9 , 1 > 
hadi_bakalım 1 < 37 , 2 > 
kazandıracağız 1 < 37 , 1 > 
yo 1 < 35 , 2 > 
coğrafya 1 < 9 , 1 > 
alanına 1 < 9 , 2 > 
planlama 1 < 12 , 1 > 
yürüyeceksiniz 1 < 37 , 1 > 
yuzon_sent 1 < 9 , 1 > 
değişiyordu 1 < 37 , 1 > 
veriliyor 1 < 37 , 3 > 
yatsın 1 < 37 , 1 > 
yedim 1 < 37 , 1 > 
mucizevi 1 < 21 , 1 > 
olmalıydı 1 < 37 , 4 > 
sormadı 1 < 37 , 1 > 
kesintiye 1 < 9 , 1 > 
tepeler 1 < 9 , 1 > 
durağı 1 < 9 , 1 > 
istediğim 1 < 14 , 2 > 
koludur 1 < 37 , 1 > 
izninin 1 < 9 , 1 > 
yapılanmalarında 1 < 12 , 1 > 
intikamın 1 < 9 , 1 > 
istediğin 1 < 14 , 1 > 
hızla 1 < 9 , 12 > 
artçı 1 < 21 , 1 > 
ağa 1 < 9 , 1 > 
kapısını 1 < 9 , 6 > 
göç_etmeye 1 < 12 , 1 > 
kızakları 1 < 9 , 2 > 
muhalefet 1 < 9 , 1 > 
gruba 1 < 9 , 1 > 
hocalar 1 < 9 , 2 > 
evenler 1 < 19 , 4 > 
tenekesi 1 < 9 , 1 > 
güneybatısında 1 < 9 , 1 > 
gel 1 < 37 , 4 > 
borçlarını 1 < 9 , 2 > 
kalmadı 1 < 37 , 2 > 
üretimde 1 < 9 , 2 > 
başımıza 1 < 9 , 1 > 
şaşın 1 < 37 , 1 > 
gözünün 1 < 9 , 1 > 
grubu 1 < 9 , 1 > 
verilir 1 < 37 , 1 > 
üye_olması 1 < 12 , 1 > 
yedi. 1 < 2 , 1 > 
anımsatmak 1 < 12 , 1 > 
üye_olmaya 1 < 12 , 1 > 
doğada 1 < 9 , 2 > 
önerisine 1 < 9 , 1 > 
mekan 1 < 9 , 2 > 
olup_olmadığını 1 < 15 , 1 > 
gereksinme 1 < 12 , 1 > 
oğlunun 1 < 9 , 7 > 
söylediğini 1 < 15 , 3 > 
buranın 1 < 9 , 1 > 
zorluklardan 1 < 9 , 1 > 
gücünün 1 < 9 , 1 > 
değerlendirmeye 1 < 12 , 1 > 
dayayıp 1 < 31 , 1 > 
evenceyi 1 < 9 , 1 > 
yapılacağını 1 < 17 , 1 > 
adımlarını 1 < 9 , 1 > 
alacakları 1 < 9 , 1 > 
gereksinim 1 < 9 , 1 > 
bişopuna 1 < 9 , 1 > 
uzadıkça 1 < 31 , 1 > 
görüyorum 1 < 37 , 1 > 
gerektiriyor 1 < 37 , 1 > 
alfven 1 < 9 , 1 > 
oyuncusu 1 < 9 , 1 > 
hızlı 1 < 21 , 8 > 
baştan 2 < 31 , 1 > < 9 , 1 > 
oğlanın 1 < 9 , 1 > 
ölcem_mölcem 1 < 9 , 1 > 
tüketeceği 1 < 18 , 1 > 
kaldırmadık 1 < 37 , 1 > 
hostes 1 < 9 , 3 > 
hapsolduğu 1 < 15 , 1 > 
akp_milletvekillerinin 1 < 9 , 1 > 
timur 1 < 19 , 3 > 
kirpikleri 1 < 9 , 1 > 
okumaları 1 < 12 , 1 > 
kurtulana 1 < 20 , 1 > 
dsp'den 1 < 19 , 1 > 
kuşatmazlar 1 < 37 , 1 > 
devam_ederler 1 < 37 , 1 > 
yardımlarla 1 < 9 , 1 > 
sıcaktan 1 < 20 , 1 > 
binaltıyüzseksenbeş_binyediyüzelliüç 1 < 1 , 1 > 
anlam 1 < 9 , 2 > 
duyduklarınızla 1 < 15 , 1 > 
veriler 1 < 9 , 1 > 
savunan 1 < 11 , 1 > 
geç 3 < 37 , 3 > < 31 , 2 > < 21 , 1 > 
alanını 1 < 9 , 3 > 
gir 1 < 37 , 2 > 
çalmıştır 1 < 37 , 1 > 
i̇tü'ye 1 < 19 , 1 > 
git 1 < 37 , 3 > 
işitiyorsunuz 1 < 37 , 1 > 
giy 1 < 37 , 1 > 
izlenim 1 < 9 , 2 > 
yı 1 < 9 , 1 > 
anlat 1 < 37 , 3 > 
iceberg 1 < 9 , 1 > 
zahmetine 1 < 9 , 1 > 
anlar 2 < 37 , 3 > < 21 , 1 > 
doluyordu 1 < 37 , 1 > 
ilişkileriyle 1 < 9 , 1 > 
tarihten 1 < 9 , 2 > 
doğrultulmuş 1 < 37 , 1 > 
ortadan_kalkar 1 < 37 , 1 > 
bekliyorlardı 1 < 37 , 2 > 
verilen 1 < 11 , 7 > 
hatırladı 1 < 37 , 1 > 
tozlarını 1 < 9 , 1 > 
günümüz 1 < 9 , 1 > 
mahkemeler 1 < 9 , 1 > 
emin 1 < 21 , 2 > 
trafik 1 < 9 , 2 > 
kolluyordun 1 < 37 , 1 > 
çiğnendi 1 < 37 , 1 > 
oldukları 2 < 15 , 3 > < 14 , 1 > 
giremiyorum 1 < 37 , 5 > 
aylar 1 < 9 , 1 > 
anlayamadım 1 < 37 , 2 > 
delikanlı 1 < 9 , 7 > 
aygün 1 < 19 , 5 > 
meker 1 < 9 , 1 > 
perakendecilikte 1 < 9 , 1 > 
verildi 1 < 37 , 3 > 
enine_boyuna 1 < 9 , 1 > 
meblağ 1 < 9 , 1 > 
yanlıları 1 < 20 , 1 > 
inancım 1 < 9 , 1 > 
türk_pop_müziği'nin 1 < 19 , 1 > 
inancın 1 < 9 , 2 > 
çoğunun 1 < 20 , 1 > 
kayıyorlar 1 < 37 , 1 > 
çocuğun 1 < 9 , 7 > 
kanlı 2 < 21 , 1 > < 20 , 1 > 
eleştirmiş 1 < 37 , 1 > 
diyordunuz 1 < 37 , 1 > 
kaldırdı 1 < 37 , 3 > 
nedenledir 1 < 37 , 1 > 
materyalizme 1 < 9 , 1 > 
adıyla 1 < 9 , 1 > 
ardahan 1 < 19 , 1 > 
materyalizmi 1 < 9 , 1 > 
korkma 1 < 37 , 1 > 
küpelerle 1 < 9 , 1 > 
şirketine 1 < 9 , 1 > 
yiyebilirsin 1 < 37 , 1 > 
tutku 1 < 9 , 3 > 
ışınının 1 < 9 , 1 > 
şifresi 1 < 9 , 1 > 
merkezciliğin 1 < 9 , 1 > 
ab'ye 1 < 19 , 3 > 
ölmeseydi 1 < 37 , 1 > 
zenginliğine 1 < 9 , 1 > 
geçerli_olabileceğini 1 < 17 , 1 > 
moralin 1 < 9 , 1 > 
hapsedilmesine 1 < 12 , 1 > 
silahlı_kuvvetler 1 < 19 , 1 > 
davet_ediyoruz 1 < 37 , 1 > 
belli_belirsiz 1 < 21 , 2 > 
tarihli 1 < 21 , 4 > 
i̇thal 1 < 9 , 1 > 
ablam 1 < 9 , 5 > 
duran 1 < 11 , 8 > 
değerini 1 < 9 , 1 > 
kaçırdığını 1 < 15 , 1 > 
ulaşılacağını 1 < 17 , 1 > 
değerine 1 < 9 , 1 > 
kanun 1 < 9 , 1 > 
şöyle_ya_da_böyle 1 < 31 , 1 > 
yetmeyeceğini 1 < 17 , 1 > 
rüveyde_yunak 1 < 19 , 1 > 
şeyden 1 < 9 , 2 > 
provokatörlerin 1 < 9 , 1 > 
bddk 1 < 9 , 1 > 
makalesini 1 < 9 , 1 > 
bankası 1 < 9 , 1 > 
on_yedinci 1 < 2 , 1 > 
i̇ngilizcesinden 1 < 20 , 1 > 
hesaplarınız 1 < 9 , 1 > 
çalıştığımız 1 < 14 , 1 > 
elimize 1 < 9 , 1 > 
buluyor 1 < 37 , 3 > 
tutsak 1 < 9 , 1 > 
unutmayalım 1 < 37 , 1 > 
başarısız 1 < 20 , 1 > 
çantam 1 < 9 , 1 > 
haftaki 1 < 21 , 1 > 
şoke_oldu 1 < 37 , 1 > 
tutma 1 < 12 , 1 > 
zenginliğin 1 < 9 , 1 > 
toplusözleşmeye 1 < 9 , 1 > 
gözkulak_olunması 1 < 12 , 1 > 
komşular 1 < 9 , 3 > 
ovis_nivicola_eschscholtz 1 < 9 , 1 > 
dökülmüşüdür 1 < 37 , 1 > 
isteğinin 1 < 9 , 1 > 
10'unun 1 < 20 , 1 > 
tarama 1 < 9 , 1 > 
sibirya 1 < 19 , 2 > 
olgudur 1 < 37 , 1 > 
tarafı 1 < 9 , 2 > 
kafasına 1 < 9 , 3 > 
kucağında 1 < 9 , 2 > 
bulmuyorum 1 < 37 , 1 > 
çevrilmemiş 1 < 37 , 1 > 
doğallaştırıp 1 < 31 , 1 > 
vurguladı 1 < 37 , 2 > 
ayhancım 1 < 9 , 1 > 
güce 1 < 9 , 1 > 
tarihte 1 < 9 , 1 > 
dayanışma 1 < 9 , 1 > 
askısını 1 < 9 , 1 > 
elliüç 1 < 20 , 1 > 
akgündüz 1 < 19 , 2 > 
şekerle 1 < 9 , 1 > 
toplanıldı 1 < 37 , 1 > 
çevirirdi 1 < 37 , 1 > 
albayın 1 < 9 , 1 > 
işıkları 1 < 9 , 1 > 
yağı 1 < 9 , 2 > 
darwin'le 1 < 19 , 1 > 
kusursuz 1 < 21 , 2 > 
nitelendirebileceğimiz 1 < 18 , 1 > 
adıydı 1 < 37 , 1 > 
faaliyetleri 1 < 9 , 1 > 
ekmeklere 1 < 9 , 1 > 
sokakta 1 < 9 , 2 > 
hegemonyası 1 < 9 , 1 > 
aztek'lerin 1 < 19 , 1 > 
iddialarını 1 < 9 , 1 > 
insanlarının 1 < 9 , 2 > 
başbakan_gül'ün 1 < 19 , 2 > 
incecik 1 < 21 , 1 > 
eşref_bitlis'in 1 < 19 , 1 > 
ışıldamış 1 < 37 , 1 > 
gri 1 < 21 , 1 > 
kıyafetli 1 < 21 , 1 > 
birikintilerini 1 < 9 , 1 > 
yaşıyoruz 1 < 37 , 1 > 
kağıtları 1 < 9 , 1 > 
kadınsa 1 < 37 , 1 > 
indirgemiştir 1 < 37 , 1 > 
kıpırtılarla 1 < 9 , 1 > 
kuruntular 1 < 9 , 2 > 
anlayamaması 1 < 12 , 1 > 
vesaire 1 < 9 , 1 > 
zinde 1 < 21 , 1 > 
arada_sırada 1 < 9 , 1 > 
olanaksız 1 < 20 , 1 > 
söylemlerine 1 < 9 , 1 > 
eğildi 1 < 37 , 1 > 
otuz'un 1 < 20 , 1 > 
gücü 1 < 9 , 3 > 
üzerinde 1 < 9 , 17 > 
hızlıymış 1 < 37 , 1 > 
sorunlarının 1 < 9 , 1 > 
üzüntüye 1 < 9 , 1 > 
neden_olacağını 1 < 17 , 2 > 
öğrenmemişti 1 < 37 , 1 > 
i̇mkb 1 < 9 , 5 > 
eğilen 1 < 11 , 1 > 
pirinç 1 < 9 , 1 > 
otuz'dan 1 < 20 , 1 > 
yok_etme 1 < 12 , 1 > 
i̇şlevini 1 < 9 , 1 > 
tehdit_edemeyeceğini 1 < 17 , 1 > 
uyum_sağlamak 1 < 12 , 1 > 
gelişmeleri 1 < 12 , 2 > 
vanli 1 < 21 , 1 > 
tuttu 1 < 37 , 3 > 
gelişmelere 1 < 12 , 1 > 
boynuzları 1 < 9 , 2 > 
uzundur 1 < 37 , 1 > 
karar_vermiş 1 < 37 , 1 > 
boynuzunu 1 < 9 , 1 > 
bölünmeye 1 < 12 , 1 > 
uyduruk 1 < 9 , 1 > 
yazmamışlar 1 < 37 , 1 > 
varoluyorum 1 < 37 , 1 > 
açtıkları 1 < 15 , 1 > 
bugüne 1 < 9 , 4 > 
anlayışlı 1 < 20 , 1 > 
sallardım 1 < 37 , 1 > 
taşıyor 1 < 37 , 2 > 
lanetini 1 < 9 , 1 > 
zevkle 1 < 9 , 1 > 
çekiniyoruz 1 < 37 , 1 > 
ödüyor 1 < 37 , 1 > 
cumhurbaşkanı'nın 1 < 19 , 1 > 
tutup 1 < 31 , 2 > 
kopardın 1 < 37 , 1 > 
azalmasına 1 < 12 , 1 > 
merkezcilik 1 < 9 , 1 > 
dışarıdaki 1 < 21 , 2 > 
limanda 1 < 9 , 1 > 
kaçınılması 1 < 12 , 1 > 
vücudunun 1 < 9 , 1 > 
yatmış 1 < 37 , 2 > 
bense 1 < 37 , 1 > 
öğrenci 1 < 9 , 1 > 
bakınız 1 < 37 , 3 > 
sentezler 1 < 9 , 1 > 
bakınır 1 < 37 , 1 > 
sözleşmemiz 1 < 9 , 1 > 
huzur 1 < 9 , 3 > 
çalışkan 1 < 21 , 1 > 
güle 1 < 37 , 1 > 
ararken 1 < 31 , 1 > 
yetkileri 1 < 9 , 1 > 
satın_alma 1 < 12 , 1 > 
düşünüyorlar 1 < 37 , 1 > 
üzümler 1 < 9 , 1 > 
sonraları 1 < 31 , 1 > 
görüntüsünün 1 < 9 , 1 > 
kadınla 1 < 9 , 5 > 
çıkarlarken 1 < 31 , 1 > 
kaldırma 1 < 12 , 2 > 
ütüyü 1 < 9 , 1 > 
kışkırtıcıların 1 < 9 , 1 > 
aleyhine 1 < 9 , 4 > 
eğilip 1 < 31 , 1 > 
korkmaz 1 < 37 , 1 > 
manevi 1 < 21 , 1 > 
nehri 1 < 9 , 3 > 
politikacıların 1 < 9 , 2 > 
başlayacaksınız 1 < 37 , 1 > 
yakıştırıyor 1 < 37 , 1 > 
tutsağı 1 < 9 , 1 > 
aldırmıyorlar 1 < 37 , 1 > 
borçlanma 1 < 12 , 1 > 
soyundan 1 < 9 , 1 > 
üzüldüm 1 < 37 , 1 > 
çamurlu 1 < 21 , 1 > 
atılmış 2 < 37 , 1 > < 21 , 1 > 
sedirinde 1 < 9 , 1 > 
tehlikesiyle 1 < 9 , 1 > 
sekiz 1 < 1 , 7 > 
şişiriyor 1 < 37 , 1 > 
girmişken 1 < 31 , 1 > 
yargıç 1 < 9 , 1 > 
oluşturup 1 < 31 , 1 > 
pıtır_pıtır 1 < 34 , 1 > 
adamının 1 < 9 , 1 > 
güne 1 < 9 , 5 > 
komutanının 1 < 9 , 2 > 
şeydir 1 < 37 , 1 > 
sevda'ya 1 < 19 , 2 > 
duyumsadı 1 < 37 , 1 > 
baskısı 1 < 9 , 1 > 
değiniyor 1 < 37 , 1 > 
pekmez 1 < 9 , 1 > 
değiştiririm 1 < 37 , 1 > 
suratı 1 < 9 , 1 > 
işlediği 1 < 14 , 1 > 
fakir 2 < 21 , 1 > < 9 , 1 > 
mart'i 1 < 19 , 1 > 
kadındı 1 < 37 , 3 > 
doğruymuş 1 < 37 , 1 > 
ilinin 1 < 9 , 1 > 
kırkyedi 1 < 20 , 1 > 
bıraktıktan 1 < 15 , 1 > 
gidiyorlardı 1 < 37 , 1 > 
büyütür 1 < 37 , 1 > 
şeklindeydi 1 < 37 , 1 > 
cimriymiş 1 < 37 , 1 > 
haberindeki 1 < 21 , 1 > 
yirmilerindeki 1 < 21 , 1 > 
sığındık 1 < 37 , 1 > 
kanal 1 < 9 , 1 > 
olacaklarını 1 < 17 , 1 > 
sığınaktı 1 < 37 , 1 > 
kaçıncı 1 < 21 , 1 > 
kanat 1 < 9 , 1 > 
görüş 1 < 9 , 5 > 
görüşlerinin 1 < 9 , 1 > 
izin 1 < 9 , 4 > 
teşekkürler 1 < 9 , 2 > 
döveriz 1 < 37 , 1 > 
sordum 1 < 37 , 14 > 
evrenbilimcidir 1 < 37 , 1 > 
marjlarının 1 < 9 , 1 > 
geç_kaldım 1 < 37 , 1 > 
haklılar 1 < 37 , 2 > 
gıcırdayarak 1 < 31 , 1 > 
devlet_teliorman'ın 1 < 19 , 1 > 
yeğen_meğen 1 < 9 , 1 > 
önemi 1 < 9 , 1 > 
bulguların 1 < 9 , 2 > 
spotunda 1 < 9 , 1 > 
istemi 1 < 9 , 1 > 
yaşandığına 1 < 15 , 1 > 
limiti 1 < 9 , 1 > 
yazısında 1 < 9 , 1 > 
anlamadı 1 < 37 , 1 > 
halkına 1 < 9 , 1 > 
koridoru 1 < 9 , 1 > 
saldırganlaşıyorlardı 1 < 37 , 1 > 
azalışın 1 < 12 , 1 > 
yoksullukla 1 < 9 , 1 > 
kanamıyordu 1 < 37 , 1 > 
çalışıldığı 2 < 15 , 2 > < 14 , 1 > 
intihar_edip 1 < 31 , 1 > 
üçüncü 1 < 2 , 4 > 
biliyorsunuz 1 < 37 , 7 > 
hergelesinin 1 < 9 , 1 > 
mükelleflere 1 < 20 , 1 > 
ait_olup 1 < 31 , 1 > 
ortaya_çıkmayacak 1 < 37 , 1 > 
türkçedeki 1 < 21 , 1 > 
etkiler 1 < 37 , 2 > 
mücadelenin 1 < 9 , 1 > 
sonuçlar 1 < 9 , 3 > 
hazine'nin 1 < 19 , 4 > 
yaratılışı 1 < 12 , 1 > 
kemal_wolfowitz 1 < 19 , 1 > 
duyamadınız 1 < 37 , 1 > 
süresini 1 < 9 , 3 > 
bilemezsin 1 < 37 , 1 > 
müşterek 1 < 21 , 2 > 
elektrozayıf 1 < 9 , 1 > 
büyüyen 1 < 11 , 1 > 
had 1 < 9 , 1 > 
tayin_edeceksiniz 1 < 37 , 1 > 
hah 1 < 35 , 2 > 
yumurcak 1 < 9 , 1 > 
kapattılar 1 < 37 , 2 > 
hak 1 < 9 , 2 > 
muhalifleri 1 < 9 , 2 > 
ham 1 < 9 , 1 > 
kesimi 1 < 9 , 1 > 
yaşıyordu 1 < 37 , 1 > 
sıcaklık 1 < 9 , 2 > 
kanıtlanmasından 1 < 12 , 1 > 
tanıyalım 1 < 37 , 1 > 
buzdolabına 1 < 9 , 2 > 
balkondan 1 < 9 , 1 > 
meşakkatle 1 < 9 , 1 > 
haftaya 1 < 9 , 2 > 
tanımladılar 1 < 37 , 1 > 
günü 1 < 9 , 12 > 
diyemeden 1 < 31 , 1 > 
oğlumun 1 < 9 , 1 > 
ışığında 1 < 9 , 1 > 
nüfuslu 2 < 21 , 1 > < 20 , 1 > 
duymasaydım 1 < 37 , 1 > 
düşünmezsin 1 < 37 , 2 > 
noktayı 1 < 9 , 2 > 
barıştıracak 1 < 18 , 1 > 
farklı_farklı 1 < 21 , 1 > 
önemsendiğini 1 < 15 , 1 > 
unutmayarak 1 < 31 , 1 > 
müziğin 1 < 9 , 2 > 
hayrünnisa_gül 1 < 19 , 1 > 
fişe 1 < 9 , 1 > 
verschuur'dan 1 < 19 , 1 > 
ifade_ediyordu 1 < 37 , 1 > 
hazırdı 1 < 37 , 1 > 
davranamıyorum 1 < 37 , 1 > 
eser'i 1 < 19 , 1 > 
çıkartıyorlardı 1 < 37 , 1 > 
istiyormuş 1 < 37 , 1 > 
devreye 1 < 9 , 1 > 
ettirmiş 1 < 37 , 1 > 
durma 1 < 37 , 1 > 
dolaşmış 1 < 37 , 1 > 
belirleneceği 1 < 17 , 1 > 
i̇srail 1 < 19 , 1 > 
gövdesinden 1 < 9 , 1 > 
pilot_binbaşı_c 1 < 9 , 1 > 
öngörülerin 1 < 9 , 1 > 
çocuğa 1 < 9 , 3 > 
çakıldığını 1 < 15 , 1 > 
görüşmesinde 1 < 9 , 1 > 
güya 1 < 31 , 1 > 
hem 2 < 32 , 36 > < 31 , 3 > 
hep 1 < 31 , 31 > 
her 1 < 33 , 116 > 
yıllarında 1 < 9 , 1 > 
üyeliklerinin 1 < 9 , 1 > 
yakışan 1 < 11 , 2 > 
sorularını 1 < 9 , 1 > 
tutan 1 < 11 , 2 > 
camdan 1 < 9 , 1 > 
hey 1 < 35 , 1 > 
tutar 1 < 37 , 1 > 
kaçınan 1 < 11 , 1 > 
gerek 3 < 37 , 7 > < 32 , 1 > < 9 , 4 > 
davacı 2 < 21 , 1 > < 9 , 1 > 
yok_ediyordu 1 < 37 , 2 > 
göz_kamaştırıyordu 1 < 37 , 1 > 
içiyordu 1 < 37 , 1 > 
harbiyelinin 1 < 20 , 1 > 
türkçeye 1 < 20 , 2 > 
tacirleri 1 < 9 , 2 > 
isimler 1 < 9 , 1 > 
kaldığı 2 < 15 , 1 > < 14 , 2 > 
harp_okulu 1 < 9 , 1 > 
yatağında 1 < 9 , 1 > 
akımcıyım 1 < 37 , 1 > 
dikkatini 1 < 9 , 1 > 
üniversiteyi 1 < 9 , 2 > 
oluşturan 1 < 11 , 4 > 
hedefliyor 1 < 37 , 1 > 
kolondan 1 < 9 , 1 > 
nüfusun 1 < 9 , 1 > 
duyguların 1 < 9 , 2 > 
cetvelle 1 < 9 , 1 > 
